Name,University status,Motto,Notes
University of Gloucestershire,2001,In animo et veritate,
London Metropolitan University,1 August 2002,,"Formed by the merger of two 1992 Universities, London Guildhall University (tracing its origins back to evening classes given in 1848) and the University of North London (founded as the Northern Polytechnic Institute in 1896)."
University of Bolton,April 2004,,
University of the Arts London,2004,,"The collegiate body was first introduced as the London Institute in 1986, and acquired university status in 2004 as the University of the Arts London. The six colleges of art, design, fashion and media have origins dating back to the mid 19th Century."
Roehampton University,1 August 2004,,Collegiate university consisting of four colleges. Earliest constituent college (Whitelands College) founded in 1841. Part of the Federal University of Surrey from 1 January 2000 to 1 August 2004.
University of Manchester,22 October 2004,"Cognitio, sapientia, humanitas","Formed in 2004 by the dissolution of the Victoria University of Manchester (which was commonly known as the University of Manchester) and UMIST (University of Manchester Institute of Science and Technology) and the immediate formation of a single institution (inaugurated on 1 October). As a university by royal charter, the new institution is legally distinct from the post-1992 institutions that became universities under the auspices of the Further and Higher Education Act 1992."
Cardiff University,December 2004,Gwirionedd undod a chytgord,"Established 1883 as the University College of South Wales and Monmouthshire and was a founder member of the University of Wales in 1893. Merged with the University of Wales Institute of Science and Technology in 1988 and with the University of Wales College of Medicine in 2004. Left the University of Wales in 2005 on becoming an independent university. Like Manchester, Cardiff is a university by royal charter."
Canterbury Christ Church University,2005,Veritas liberabit vos,
University of Chester,2005,Qui docet in doctrina,Founded as Chester Diocesan Training College in 1839; degrees awarded by University of Liverpool 1910; university college 2003
University of Winchester,June 2005,Wisdom ond lar (from old English) Modern English translation: Wisdom and Knowledge,Founded in 1840 as Winchester Diocesan Training School. In 1847 it became Winchester Training College and was renamed King Alfred's College in 1928; degree awarding powers in 2003 and became University College Winchester in 2004. In 2008 Winchester University was awarded research degree awarding powers.
Liverpool Hope University,July 2005,"In Faith, Hope and Love","Originally three teacher training institutions, Christ's College, Notre Dame and St Catherine's which merged in the late 1970s to become Liverpool Institute of Higher Education and then later, Liverpool Hope University College"
