"Наименование характеристики, ее размерность","Наименование параметра, его значение"
местонахождение (адрес) ОПО,"Место-1, Место-2"
класс опасности ОПО,I
наименование объекта экспертизы,теплообменник (корпус)
регистрационный номер,333
заводсткой номер,4-676
завод изготовитель,Германия
год изготовления,1942
год ввода в эксплуатацию,1962
назначение,для нагрева газосырьевой смеси отходящей газопродуктовой смесью
тип оборудования,теплообменное
конструктивный тип,вертикальный кованный с трубным пучком
место установки,на открытой площадке
теплоизоляция,не теплоизолирован
"объем, м.куб.",5
рабочая среда блок 31,газосырьевая смесь 1
рабочая среда блок 40,газосырьевая смесь 2
рабочая среда блок 41,газосырьевая смесь 3
"рабочее давление (регламентное), МПа",32
"разрешенное давление, МПа",32
"расчетное давление, МПа",32
"пробное давление гидроиспытания, МПа",48
"температура рабочей среды, С",300
"температура стенки корпуса, С",270
"расчетная температура стенки, С",300
группа аппарата,1
основной конструкционный материал,24CrMo10
"диаметр внутренний, мм",600
"высота, мм",20280
